start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | -47.8       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 46          |
|    time_elapsed         | 550         |
|    total_timesteps      | 5888        |
| train/                  |             |
|    approx_kl            | 0.013921637 |
|    clip_fraction        | 0.068       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | -0.002      |
|    learning_rate        | 0.0003      |
|    loss                 | 6.52        |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.924       |
|    value_loss           | 13.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -47.5        |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 47           |
|    time_elapsed         | 561          |
|    total_timesteps      | 6016         |
| train/                  |              |
|    approx_kl            | 0.0043659154 |
|    clip_fraction        | 0.0109       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.02        |
|    explained_variance   | 2.43e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 8.44         |
|    n_updates            | 460          |
|    policy_gradient_loss | 0.00112      |
|    std                  | 0.924        |
|    value_loss           | 16.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -47.1        |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 48           |
|    time_elapsed         | 569          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0027637356 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.02        |
|    explained_variance   | -0.000236    |
|    learning_rate        | 0.0003       |
|    loss                 | 6.96         |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.0039      |
|    std                  | 0.924        |
|    value_loss           | 14.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -46.7        |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 49           |
|    time_elapsed         | 581          |
|    total_timesteps      | 6272         |
| train/                  |              |
|    approx_kl            | 0.0002827905 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.02        |
|    explained_variance   | -0.0024      |
|    learning_rate        | 0.0003       |
|    loss                 | 9.54         |
|    n_updates            | 480          |
|    policy_gradient_loss | 0.0014       |
